Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2016",424.30,426.20,412.68,416.52,"75,411,500","6,521,010,000"
"Mar 28, 2016",426.55,426.86,423.29,424.23,"68,522,800","6,553,700,000"
"Mar 27, 2016",418.14,428.80,417.71,426.76,"71,229,400","6,423,040,000"
"Mar 26, 2016",417.37,418.99,416.26,417.94,"44,650,400","6,409,500,000"
"Mar 25, 2016",416.51,418.08,415.56,417.18,"52,560,000","6,394,850,000"
"Mar 24, 2016",418.42,418.68,415.49,416.39,"68,346,700","6,422,730,000"
"Mar 23, 2016",418.16,419.27,417.36,418.04,"61,444,200","6,417,130,000"
"Mar 22, 2016",413.13,418.38,412.53,418.09,"66,813,300","6,338,430,000"
"Mar 21, 2016",413.42,413.42,410.38,413.31,"61,655,400","6,341,380,000"
"Mar 20, 2016",410.40,414.63,410.40,413.75,"45,947,900","6,293,610,000"
"Mar 19, 2016",409.26,410.98,407.23,410.44,"58,423,000","6,274,790,000"
"Mar 18, 2016",420.55,420.55,406.14,409.55,"104,940,000","6,446,330,000"
"Mar 17, 2016",417.89,421.00,417.89,420.62,"83,528,600","6,404,130,000"
"Mar 16, 2016",416.89,417.69,415.91,417.01,"65,185,800","6,387,190,000"
"Mar 15, 2016",416.39,418.13,414.99,416.83,"66,781,700","6,377,870,000"
"Mar 14, 2016",414.20,416.68,414.20,416.44,"95,259,400","6,342,780,000"
"Mar 13, 2016",411.65,416.60,411.64,414.06,"74,322,800","6,302,330,000"
"Mar 12, 2016",421.61,421.80,410.09,411.62,"92,712,900","6,453,260,000"
"Mar 11, 2016",417.24,423.93,417.01,421.69,"73,969,700","6,384,740,000"
"Mar 10, 2016",414.74,417.51,413.25,417.13,"81,022,900","6,344,960,000"
"Mar 09, 2016",413.89,416.03,411.61,414.86,"70,012,300","6,330,230,000"
"Mar 08, 2016",414.46,416.24,411.09,413.97,"70,311,700","6,337,370,000"
"Mar 07, 2016",407.76,415.92,406.31,414.32,"85,762,400","6,233,430,000"
"Mar 06, 2016",400.52,411.91,395.78,407.71,"91,212,500","6,121,400,000"
"Mar 05, 2016",410.78,411.26,394.04,400.57,"135,385,000","6,276,610,000"
"Mar 04, 2016",421.84,425.18,410.94,410.94,"90,856,100","6,443,890,000"
"Mar 03, 2016",423.91,425.37,419.41,421.65,"100,484,000","6,474,150,000"
"Mar 02, 2016",435.13,435.92,423.99,423.99,"74,955,300","6,643,810,000"
"Mar 01, 2016",437.92,439.65,432.32,435.12,"74,895,800","6,684,800,000"
"Feb 29, 2016",433.44,441.51,431.69,437.70,"60,694,700","6,614,980,000"
"Feb 28, 2016",432.57,435.68,423.82,433.50,"53,033,400","6,600,310,000"
"Feb 27, 2016",432.84,434.23,428.10,432.52,"41,893,600","6,602,810,000"
"Feb 26, 2016",424.63,432.15,421.62,432.15,"61,486,000","6,476,080,000"
"Feb 25, 2016",425.04,427.72,420.42,424.54,"70,798,000","6,480,650,000"
"Feb 24, 2016",420.96,425.55,413.91,424.95,"67,743,700","6,417,190,000"
"Feb 23, 2016",438.25,439.86,417.82,420.74,"85,244,900","6,679,400,000"
"Feb 22, 2016",438.99,439.05,432.92,437.75,"85,385,200","6,689,200,000"
"Feb 21, 2016",437.77,448.05,429.08,438.80,"89,820,700","6,669,260,000"
"Feb 20, 2016",421.60,441.98,421.60,437.16,"93,992,100","6,421,310,000"
"Feb 19, 2016",422.73,423.10,417.60,420.79,"55,711,300","6,436,980,000"
"Feb 18, 2016",416.57,426.00,415.64,422.37,"76,752,600","6,341,430,000"
"Feb 17, 2016",407.66,421.17,406.78,416.32,"83,193,600","6,204,150,000"
"Feb 16, 2016",401.43,408.94,401.43,407.49,"73,093,100","6,108,040,000"
"Feb 15, 2016",407.57,410.38,397.75,400.19,"74,070,500","6,199,850,000"
"Feb 14, 2016",392.93,407.23,392.93,407.23,"74,469,800","5,975,580,000"
